country,NUTS0_ID,type_of_building,heating_equipment,year,heating_or_cooling,price_index_households_appliances,labour_cost_index_construction_sector,equipment_and_maintenance_index,specific_investment_costs,equipment_cost_ share,installation_cost_share,fixed_O_and_M,variable_O_and_M,technical_lifetime,total_annual_net_efficiency
Poland,PL,new MFH,Bio-oil boiler,2050,heating,0.66,0.19,0.52,91,0.7,0.3,2,0.025,20,0.88
Portugal,PT,new MFH,Bio-oil boiler,2050,heating,1,0.3,0.77,139,0.7,0.3,3,0.025,20,0.88
Romania,RO,new MFH,Bio-oil boiler,2050,heating,0.8,0.11,0.57,103,0.7,0.3,2,0.025,20,0.88
Slovakia,SK,new MFH,Bio-oil boiler,2050,heating,0.81,0.24,0.66,111,0.7,0.3,2,0.025,20,0.88
Slovenia,SI,new MFH,Bio-oil boiler,2050,heating,0.88,0.3,0.73,123,0.7,0.3,3,0.025,20,0.88
Spain,ES,new MFH,Bio-oil boiler,2050,heating,0.89,0.51,0.82,136,0.7,0.3,3,0.025,20,0.88
Sweden,SE,new MFH,Bio-oil boiler,2050,heating,1.01,1.02,0.98,177,0.7,0.3,3,0.025,20,0.88
United Kingdom,UK,new MFH,Bio-oil boiler,2050,heating,0.87,0.71,0.85,144,0.7,0.3,3,0.025,20,0.88
Austria,AT,new SFH,Natural gas,2015,heating,0.82,0.81,0.9,262,0.63,0.37,18,0,20,0.95
Belgium,BE,new SFH,Natural gas,2015,heating,0.92,0.88,0.88,290,0.63,0.37,18,0,20,0.95
Bulgaria,BG,new SFH,Natural gas,2015,heating,0.73,0.09,0.52,159,0.63,0.37,10,0,20,0.95
Croatia,HR,new SFH,Natural gas,2015,heating,0.83,0.23,0.66,195,0.63,0.37,13,0,20,0.95
Cyprus,CY,new SFH,Natural gas,2015,heating,1.02,0.36,0.73,248,0.63,0.37,15,0,20,0.95
Czech Republic,CZ,new SFH,Natural gas,2015,heating,0.8,0.24,0.63,191,0.63,0.37,13,0,20,0.95
Denmark,DK,new SFH,Natural gas,2015,heating,1,1,1,320,0.63,0.37,20,0,20,0.95
Estonia,EE,new SFH,Natural gas,2015,heating,0.82,0.3,0.72,201,0.63,0.37,14,0,20,0.95
Finland,FI,new SFH,Natural gas,2015,heating,0.94,0.87,0.92,292,0.63,0.37,18,0,20,0.95
France,FR,new SFH,Natural gas,2015,heating,0.93,0.8,0.84,282,0.63,0.37,17,0,20,0.95
Germany,DE,new SFH,Natural gas,2015,heating,0.89,0.69,0.82,261,0.63,0.37,16,0,20,0.95
Greece,EL,new SFH,Natural gas,2015,heating,0.81,0.29,0.74,197,0.63,0.37,15,0,20,0.95
Hungary,HU,new SFH,Natural gas,2015,heating,0.76,0.15,0.57,172,0.63,0.37,11,0,20,0.95
Ireland,IE,new SFH,Natural gas,2015,heating,0.87,0.69,0.83,257,0.63,0.37,17,0,20,0.95
Italy,IT,new SFH,Natural gas,2015,heating,0.94,0.6,0.87,261,0.63,0.37,17,0,20,0.95
Latvia,LV,new SFH,Natural gas,2015,heating,0.76,0.19,0.68,176,0.63,0.37,14,0,20,0.95
Lithuania,LT,new SFH,Natural gas,2015,heating,0.81,0.18,0.66,185,0.63,0.37,13,0,20,0.95
Luxembourg,LU,new SFH,Natural gas,2015,heating,0.98,0.64,0.92,275,0.63,0.37,18,0,20,0.95
Malta,MT,new SFH,Natural gas,2015,heating,1.16,0.24,0.85,262,0.63,0.37,17,0,20,0.95
Netherlands,NL,new SFH,Natural gas,2015,heating,0.87,0.86,0.88,276,0.63,0.37,18,0,20,0.95
Poland,PL,new SFH,Natural gas,2015,heating,0.66,0.19,0.52,156,0.63,0.37,10,0,20,0.95
Portugal,PT,new SFH,Natural gas,2015,heating,1,0.3,0.77,238,0.63,0.37,15,0,20,0.95
Romania,RO,new SFH,Natural gas,2015,heating,0.8,0.11,0.57,173,0.63,0.37,11,0,20,0.95
Slovakia,SK,new SFH,Natural gas,2015,heating,0.81,0.24,0.66,191,0.63,0.37,13,0,20,0.95
Slovenia,SI,new SFH,Natural gas,2015,heating,0.88,0.3,0.73,212,0.63,0.37,15,0,20,0.95
Spain,ES,new SFH,Natural gas,2015,heating,0.89,0.51,0.82,241,0.63,0.37,16,0,20,0.95
Sweden,SE,new SFH,Natural gas,2015,heating,1.01,1.02,0.98,323,0.63,0.37,20,0,20,0.95
United Kingdom,UK,new SFH,Natural gas,2015,heating,0.87,0.71,0.85,259,0.63,0.37,17,0,20,0.95
Austria,AT,new MFH,Natural gas,2015,heating,0.82,0.81,0.9,52,0.84,0.16,2,0,25,1.02
Belgium,BE,new MFH,Natural gas,2015,heating,0.92,0.88,0.88,58,0.84,0.16,2,0,25,1.02
Bulgaria,BG,new MFH,Natural gas,2015,heating,0.73,0.09,0.52,40,0.84,0.16,1,0,25,1.02
Croatia,HR,new MFH,Natural gas,2015,heating,0.83,0.23,0.66,46,0.84,0.16,1,0,25,1.02
Cyprus,CY,new MFH,Natural gas,2015,heating,1.02,0.36,0.73,58,0.84,0.16,1,0,25,1.02
Czech Republic,CZ,new MFH,Natural gas,2015,heating,0.8,0.24,0.63,45,0.84,0.16,1,0,25,1.02
Denmark,DK,new MFH,Natural gas,2015,heating,1,1,1,63,0.84,0.16,2,0,25,1.02
Estonia,EE,new MFH,Natural gas,2015,heating,0.82,0.3,0.72,46,0.84,0.16,1,0,25,1.02
Finland,FI,new MFH,Natural gas,2015,heating,0.94,0.87,0.92,58,0.84,0.16,2,0,25,1.02
France,FR,new MFH,Natural gas,2015,heating,0.93,0.8,0.84,57,0.84,0.16,2,0,25,1.02
Germany,DE,new MFH,Natural gas,2015,heating,0.89,0.69,0.82,54,0.84,0.16,2,0,25,1.02
Greece,EL,new MFH,Natural gas,2015,heating,0.81,0.29,0.74,46,0.84,0.16,1,0,25,1.02
Hungary,HU,new MFH,Natural gas,2015,heating,0.76,0.15,0.57,42,0.84,0.16,1,0,25,1.02
Ireland,IE,new MFH,Natural gas,2015,heating,0.87,0.69,0.83,53,0.84,0.16,2,0,25,1.02
Italy,IT,new MFH,Natural gas,2015,heating,0.94,0.6,0.87,56,0.84,0.16,2,0,25,1.02
Latvia,LV,new MFH,Natural gas,2015,heating,0.76,0.19,0.68,42,0.84,0.16,1,0,25,1.02
Lithuania,LT,new MFH,Natural gas,2015,heating,0.81,0.18,0.66,45,0.84,0.16,1,0,25,1.02
Luxembourg,LU,new MFH,Natural gas,2015,heating,0.98,0.64,0.92,59,0.84,0.16,2,0,25,1.02
Malta,MT,new MFH,Natural gas,2015,heating,1.16,0.24,0.85,64,0.84,0.16,2,0,25,1.02
Netherlands,NL,new MFH,Natural gas,2015,heating,0.87,0.86,0.88,54,0.84,0.16,2,0,25,1.02
Poland,PL,new MFH,Natural gas,2015,heating,0.66,0.19,0.52,37,0.84,0.16,1,0,25,1.02
Portugal,PT,new MFH,Natural gas,2015,heating,1,0.3,0.77,56,0.84,0.16,2,0,25,1.02
Romania,RO,new MFH,Natural gas,2015,heating,0.8,0.11,0.57,43,0.84,0.16,1,0,25,1.02
Slovakia,SK,new MFH,Natural gas,2015,heating,0.81,0.24,0.66,45,0.84,0.16,1,0,25,1.02
Slovenia,SI,new MFH,Natural gas,2015,heating,0.88,0.3,0.73,50,0.84,0.16,1,0,25,1.02
Spain,ES,new MFH,Natural gas,2015,heating,0.89,0.51,0.82,52,0.84,0.16,2,0,25,1.02
Sweden,SE,new MFH,Natural gas,2015,heating,1.01,1.02,0.98,63,0.84,0.16,2,0,25,1.02
United Kingdom,UK,new MFH,Natural gas,2015,heating,0.87,0.71,0.85,53,0.84,0.16,2,0,25,1.02
Austria,AT,new SFH,Natural gas,2020,heating,0.82,0.81,0.9,262,0.63,0.37,18,0,20,0.95
Belgium,BE,new SFH,Natural gas,2020,heating,0.92,0.88,0.88,290,0.63,0.37,18,0,20,0.95
Bulgaria,BG,new SFH,Natural gas,2020,heating,0.73,0.09,0.52,159,0.63,0.37,10,0,20,0.95
Croatia,HR,new SFH,Natural gas,2020,heating,0.83,0.23,0.66,195,0.63,0.37,13,0,20,0.95
Cyprus,CY,new SFH,Natural gas,2020,heating,1.02,0.36,0.73,248,0.63,0.37,15,0,20,0.95
Czech Republic,CZ,new SFH,Natural gas,2020,heating,0.8,0.24,0.63,191,0.63,0.37,13,0,20,0.95
Denmark,DK,new SFH,Natural gas,2020,heating,1,1,1,320,0.63,0.37,20,0,20,0.95
Estonia,EE,new SFH,Natural gas,2020,heating,0.82,0.3,0.72,201,0.63,0.37,14,0,20,0.95
Finland,FI,new SFH,Natural gas,2020,heating,0.94,0.87,0.92,292,0.63,0.37,18,0,20,0.95
France,FR,new SFH,Natural gas,2020,heating,0.93,0.8,0.84,282,0.63,0.37,17,0,20,0.95
Germany,DE,new SFH,Natural gas,2020,heating,0.89,0.69,0.82,261,0.63,0.37,16,0,20,0.95
Greece,EL,new SFH,Natural gas,2020,heating,0.81,0.29,0.74,197,0.63,0.37,15,0,20,0.95
Hungary,HU,new SFH,Natural gas,2020,heating,0.76,0.15,0.57,172,0.63,0.37,11,0,20,0.95
Ireland,IE,new SFH,Natural gas,2020,heating,0.87,0.69,0.83,257,0.63,0.37,17,0,20,0.95
Italy,IT,new SFH,Natural gas,2020,heating,0.94,0.6,0.87,261,0.63,0.37,17,0,20,0.95
Latvia,LV,new SFH,Natural gas,2020,heating,0.76,0.19,0.68,176,0.63,0.37,14,0,20,0.95
Lithuania,LT,new SFH,Natural gas,2020,heating,0.81,0.18,0.66,185,0.63,0.37,13,0,20,0.95
Luxembourg,LU,new SFH,Natural gas,2020,heating,0.98,0.64,0.92,275,0.63,0.37,18,0,20,0.95
Malta,MT,new SFH,Natural gas,2020,heating,1.16,0.24,0.85,262,0.63,0.37,17,0,20,0.95
Netherlands,NL,new SFH,Natural gas,2020,heating,0.87,0.86,0.88,276,0.63,0.37,18,0,20,0.95
Poland,PL,new SFH,Natural gas,2020,heating,0.66,0.19,0.52,156,0.63,0.37,10,0,20,0.95
Portugal,PT,new SFH,Natural gas,2020,heating,1,0.3,0.77,238,0.63,0.37,15,0,20,0.95
Romania,RO,new SFH,Natural gas,2020,heating,0.8,0.11,0.57,173,0.63,0.37,11,0,20,0.95
Slovakia,SK,new SFH,Natural gas,2020,heating,0.81,0.24,0.66,191,0.63,0.37,13,0,20,0.95
Slovenia,SI,new SFH,Natural gas,2020,heating,0.88,0.3,0.73,212,0.63,0.37,15,0,20,0.95
Spain,ES,new SFH,Natural gas,2020,heating,0.89,0.51,0.82,241,0.63,0.37,16,0,20,0.95
Sweden,SE,new SFH,Natural gas,2020,heating,1.01,1.02,0.98,323,0.63,0.37,20,0,20,0.95
United Kingdom,UK,new SFH,Natural gas,2020,heating,0.87,0.71,0.85,259,0.63,0.37,17,0,20,0.95
Austria,AT,new MFH,Natural gas,2020,heating,0.82,0.81,0.9,52,0.84,0.16,2,0,25,1.02
Belgium,BE,new MFH,Natural gas,2020,heating,0.92,0.88,0.88,58,0.84,0.16,2,0,25,1.02
Bulgaria,BG,new MFH,Natural gas,2020,heating,0.73,0.09,0.52,40,0.84,0.16,1,0,25,1.02
Croatia,HR,new MFH,Natural gas,2020,heating,0.83,0.23,0.66,46,0.84,0.16,1,0,25,1.02
Cyprus,CY,new MFH,Natural gas,2020,heating,1.02,0.36,0.73,58,0.84,0.16,1,0,25,1.02
Czech Republic,CZ,new MFH,Natural gas,2020,heating,0.8,0.24,0.63,45,0.84,0.16,1,0,25,1.02
Denmark,DK,new MFH,Natural gas,2020,heating,1,1,1,63,0.84,0.16,2,0,25,1.02
Estonia,EE,new MFH,Natural gas,2020,heating,0.82,0.3,0.72,46,0.84,0.16,1,0,25,1.02
Finland,FI,new MFH,Natural gas,2020,heating,0.94,0.87,0.92,58,0.84,0.16,2,0,25,1.02
France,FR,new MFH,Natural gas,2020,heating,0.93,0.8,0.84,57,0.84,0.16,2,0,25,1.02
Germany,DE,new MFH,Natural gas,2020,heating,0.89,0.69,0.82,54,0.84,0.16,2,0,25,1.02
Greece,EL,new MFH,Natural gas,2020,heating,0.81,0.29,0.74,46,0.84,0.16,1,0,25,1.02
Hungary,HU,new MFH,Natural gas,2020,heating,0.76,0.15,0.57,42,0.84,0.16,1,0,25,1.02
Ireland,IE,new MFH,Natural gas,2020,heating,0.87,0.69,0.83,53,0.84,0.16,2,0,25,1.02
Italy,IT,new MFH,Natural gas,2020,heating,0.94,0.6,0.87,56,0.84,0.16,2,0,25,1.02
Latvia,LV,new MFH,Natural gas,2020,heating,0.76,0.19,0.68,42,0.84,0.16,1,0,25,1.02
Lithuania,LT,new MFH,Natural gas,2020,heating,0.81,0.18,0.66,45,0.84,0.16,1,0,25,1.02
Luxembourg,LU,new MFH,Natural gas,2020,heating,0.98,0.64,0.92,59,0.84,0.16,2,0,25,1.02
Malta,MT,new MFH,Natural gas,2020,heating,1.16,0.24,0.85,64,0.84,0.16,2,0,25,1.02
Netherlands,NL,new MFH,Natural gas,2020,heating,0.87,0.86,0.88,54,0.84,0.16,2,0,25,1.02
Poland,PL,new MFH,Natural gas,2020,heating,0.66,0.19,0.52,37,0.84,0.16,1,0,25,1.02
Portugal,PT,new MFH,Natural gas,2020,heating,1,0.3,0.77,56,0.84,0.16,2,0,25,1.02
Romania,RO,new MFH,Natural gas,2020,heating,0.8,0.11,0.57,43,0.84,0.16,1,0,25,1.02
Slovakia,SK,new MFH,Natural gas,2020,heating,0.81,0.24,0.66,45,0.84,0.16,1,0,25,1.02
Slovenia,SI,new MFH,Natural gas,2020,heating,0.88,0.3,0.73,50,0.84,0.16,1,0,25,1.02
Spain,ES,new MFH,Natural gas,2020,heating,0.89,0.51,0.82,52,0.84,0.16,2,0,25,1.02
Sweden,SE,new MFH,Natural gas,2020,heating,1.01,1.02,0.98,63,0.84,0.16,2,0,25,1.02
United Kingdom,UK,new MFH,Natural gas,2020,heating,0.87,0.71,0.85,53,0.84,0.16,2,0,25,1.02
Austria,AT,new SFH,Natural gas,2030,heating,0.82,0.81,0.9,262,0.63,0.37,18,0,20,0.95
Belgium,BE,new SFH,Natural gas,2030,heating,0.92,0.88,0.88,290,0.63,0.37,18,0,20,0.95
Bulgaria,BG,new SFH,Natural gas,2030,heating,0.73,0.09,0.52,159,0.63,0.37,10,0,20,0.95
Croatia,HR,new SFH,Natural gas,2030,heating,0.83,0.23,0.66,195,0.63,0.37,13,0,20,0.95
Cyprus,CY,new SFH,Natural gas,2030,heating,1.02,0.36,0.73,248,0.63,0.37,15,0,20,0.95
Czech Republic,CZ,new SFH,Natural gas,2030,heating,0.8,0.24,0.63,191,0.63,0.37,13,0,20,0.95
Denmark,DK,new SFH,Natural gas,2030,heating,1,1,1,320,0.63,0.37,20,0,20,0.95
Estonia,EE,new SFH,Natural gas,2030,heating,0.82,0.3,0.72,201,0.63,0.37,14,0,20,0.95
Finland,FI,new SFH,Natural gas,2030,heating,0.94,0.87,0.92,292,0.63,0.37,18,0,20,0.95
France,FR,new SFH,Natural gas,2030,heating,0.93,0.8,0.84,282,0.63,0.37,17,0,20,0.95
Germany,DE,new SFH,Natural gas,2030,heating,0.89,0.69,0.82,261,0.63,0.37,16,0,20,0.95
Greece,EL,new SFH,Natural gas,2030,heating,0.81,0.29,0.74,197,0.63,0.37,15,0,20,0.95
Hungary,HU,new SFH,Natural gas,2030,heating,0.76,0.15,0.57,172,0.63,0.37,11,0,20,0.95
Ireland,IE,new SFH,Natural gas,2030,heating,0.87,0.69,0.83,257,0.63,0.37,17,0,20,0.95
Italy,IT,new SFH,Natural gas,2030,heating,0.94,0.6,0.87,261,0.63,0.37,17,0,20,0.95
Latvia,LV,new SFH,Natural gas,2030,heating,0.76,0.19,0.68,176,0.63,0.37,14,0,20,0.95
Lithuania,LT,new SFH,Natural gas,2030,heating,0.81,0.18,0.66,185,0.63,0.37,13,0,20,0.95
Luxembourg,LU,new SFH,Natural gas,2030,heating,0.98,0.64,0.92,275,0.63,0.37,18,0,20,0.95
Malta,MT,new SFH,Natural gas,2030,heating,1.16,0.24,0.85,262,0.63,0.37,17,0,20,0.95
Netherlands,NL,new SFH,Natural gas,2030,heating,0.87,0.86,0.88,276,0.63,0.37,18,0,20,0.95
Poland,PL,new SFH,Natural gas,2030,heating,0.66,0.19,0.52,156,0.63,0.37,10,0,20,0.95
Portugal,PT,new SFH,Natural gas,2030,heating,1,0.3,0.77,238,0.63,0.37,15,0,20,0.95
Romania,RO,new SFH,Natural gas,2030,heating,0.8,0.11,0.57,173,0.63,0.37,11,0,20,0.95
Slovakia,SK,new SFH,Natural gas,2030,heating,0.81,0.24,0.66,191,0.63,0.37,13,0,20,0.95
Slovenia,SI,new SFH,Natural gas,2030,heating,0.88,0.3,0.73,212,0.63,0.37,15,0,20,0.95
Spain,ES,new SFH,Natural gas,2030,heating,0.89,0.51,0.82,241,0.63,0.37,16,0,20,0.95
Sweden,SE,new SFH,Natural gas,2030,heating,1.01,1.02,0.98,323,0.63,0.37,20,0,20,0.95
United Kingdom,UK,new SFH,Natural gas,2030,heating,0.87,0.71,0.85,259,0.63,0.37,17,0,20,0.95
Austria,AT,new MFH,Natural gas,2030,heating,0.82,0.81,0.9,52,0.84,0.16,2,0,25,1.02
Belgium,BE,new MFH,Natural gas,2030,heating,0.92,0.88,0.88,58,0.84,0.16,2,0,25,1.02
Bulgaria,BG,new MFH,Natural gas,2030,heating,0.73,0.09,0.52,40,0.84,0.16,1,0,25,1.02
Croatia,HR,new MFH,Natural gas,2030,heating,0.83,0.23,0.66,46,0.84,0.16,1,0,25,1.02
Cyprus,CY,new MFH,Natural gas,2030,heating,1.02,0.36,0.73,58,0.84,0.16,1,0,25,1.02
Czech Republic,CZ,new MFH,Natural gas,2030,heating,0.8,0.24,0.63,45,0.84,0.16,1,0,25,1.02
Denmark,DK,new MFH,Natural gas,2030,heating,1,1,1,63,0.84,0.16,2,0,25,1.02
Estonia,EE,new MFH,Natural gas,2030,heating,0.82,0.3,0.72,46,0.84,0.16,1,0,25,1.02
Finland,FI,new MFH,Natural gas,2030,heating,0.94,0.87,0.92,58,0.84,0.16,2,0,25,1.02
France,FR,new MFH,Natural gas,2030,heating,0.93,0.8,0.84,57,0.84,0.16,2,0,25,1.02
Germany,DE,new MFH,Natural gas,2030,heating,0.89,0.69,0.82,54,0.84,0.16,2,0,25,1.02
Greece,EL,new MFH,Natural gas,2030,heating,0.81,0.29,0.74,46,0.84,0.16,1,0,25,1.02
Hungary,HU,new MFH,Natural gas,2030,heating,0.76,0.15,0.57,42,0.84,0.16,1,0,25,1.02
Ireland,IE,new MFH,Natural gas,2030,heating,0.87,0.69,0.83,53,0.84,0.16,2,0,25,1.02
Italy,IT,new MFH,Natural gas,2030,heating,0.94,0.6,0.87,56,0.84,0.16,2,0,25,1.02
Latvia,LV,new MFH,Natural gas,2030,heating,0.76,0.19,0.68,42,0.84,0.16,1,0,25,1.02
Lithuania,LT,new MFH,Natural gas,2030,heating,0.81,0.18,0.66,45,0.84,0.16,1,0,25,1.02
Luxembourg,LU,new MFH,Natural gas,2030,heating,0.98,0.64,0.92,59,0.84,0.16,2,0,25,1.02
Malta,MT,new MFH,Natural gas,2030,heating,1.16,0.24,0.85,64,0.84,0.16,2,0,25,1.02
Netherlands,NL,new MFH,Natural gas,2030,heating,0.87,0.86,0.88,54,0.84,0.16,2,0,25,1.02
Poland,PL,new MFH,Natural gas,2030,heating,0.66,0.19,0.52,37,0.84,0.16,1,0,25,1.02
Portugal,PT,new MFH,Natural gas,2030,heating,1,0.3,0.77,56,0.84,0.16,2,0,25,1.02
Romania,RO,new MFH,Natural gas,2030,heating,0.8,0.11,0.57,43,0.84,0.16,1,0,25,1.02
Slovakia,SK,new MFH,Natural gas,2030,heating,0.81,0.24,0.66,45,0.84,0.16,1,0,25,1.02
Slovenia,SI,new MFH,Natural gas,2030,heating,0.88,0.3,0.73,50,0.84,0.16,1,0,25,1.02
Spain,ES,new MFH,Natural gas,2030,heating,0.89,0.51,0.82,52,0.84,0.16,2,0,25,1.02
Sweden,SE,new MFH,Natural gas,2030,heating,1.01,1.02,0.98,63,0.84,0.16,2,0,25,1.02
United Kingdom,UK,new MFH,Natural gas,2030,heating,0.87,0.71,0.85,53,0.84,0.16,2,0,25,1.02
Austria,AT,new SFH,Natural gas,2050,heating,0.82,0.81,0.9,262,0.63,0.37,18,0,20,0.95
Belgium,BE,new SFH,Natural gas,2050,heating,0.92,0.88,0.88,290,0.63,0.37,18,0,20,0.95
Bulgaria,BG,new SFH,Natural gas,2050,heating,0.73,0.09,0.52,159,0.63,0.37,10,0,20,0.95
Croatia,HR,new SFH,Natural gas,2050,heating,0.83,0.23,0.66,195,0.63,0.37,13,0,20,0.95
Cyprus,CY,new SFH,Natural gas,2050,heating,1.02,0.36,0.73,248,0.63,0.37,15,0,20,0.95
Czech Republic,CZ,new SFH,Natural gas,2050,heating,0.8,0.24,0.63,191,0.63,0.37,13,0,20,0.95
Denmark,DK,new SFH,Natural gas,2050,heating,1,1,1,320,0.63,0.37,20,0,20,0.95
Estonia,EE,new SFH,Natural gas,2050,heating,0.82,0.3,0.72,201,0.63,0.37,14,0,20,0.95
Finland,FI,new SFH,Natural gas,2050,heating,0.94,0.87,0.92,292,0.63,0.37,18,0,20,0.95
France,FR,new SFH,Natural gas,2050,heating,0.93,0.8,0.84,282,0.63,0.37,17,0,20,0.95
Germany,DE,new SFH,Natural gas,2050,heating,0.89,0.69,0.82,261,0.63,0.37,16,0,20,0.95
Greece,EL,new SFH,Natural gas,2050,heating,0.81,0.29,0.74,197,0.63,0.37,15,0,20,0.95
Hungary,HU,new SFH,Natural gas,2050,heating,0.76,0.15,0.57,172,0.63,0.37,11,0,20,0.95
Ireland,IE,new SFH,Natural gas,2050,heating,0.87,0.69,0.83,257,0.63,0.37,17,0,20,0.95
Italy,IT,new SFH,Natural gas,2050,heating,0.94,0.6,0.87,261,0.63,0.37,17,0,20,0.95
Latvia,LV,new SFH,Natural gas,2050,heating,0.76,0.19,0.68,176,0.63,0.37,14,0,20,0.95
Lithuania,LT,new SFH,Natural gas,2050,heating,0.81,0.18,0.66,185,0.63,0.37,13,0,20,0.95
Luxembourg,LU,new SFH,Natural gas,2050,heating,0.98,0.64,0.92,275,0.63,0.37,18,0,20,0.95
Malta,MT,new SFH,Natural gas,2050,heating,1.16,0.24,0.85,262,0.63,0.37,17,0,20,0.95
Netherlands,NL,new SFH,Natural gas,2050,heating,0.87,0.86,0.88,276,0.63,0.37,18,0,20,0.95
Poland,PL,new SFH,Natural gas,2050,heating,0.66,0.19,0.52,156,0.63,0.37,10,0,20,0.95
Portugal,PT,new SFH,Natural gas,2050,heating,1,0.3,0.77,238,0.63,0.37,15,0,20,0.95
Romania,RO,new SFH,Natural gas,2050,heating,0.8,0.11,0.57,173,0.63,0.37,11,0,20,0.95
Slovakia,SK,new SFH,Natural gas,2050,heating,0.81,0.24,0.66,191,0.63,0.37,13,0,20,0.95
Slovenia,SI,new SFH,Natural gas,2050,heating,0.88,0.3,0.73,212,0.63,0.37,15,0,20,0.95
Spain,ES,new SFH,Natural gas,2050,heating,0.89,0.51,0.82,241,0.63,0.37,16,0,20,0.95
Sweden,SE,new SFH,Natural gas,2050,heating,1.01,1.02,0.98,323,0.63,0.37,20,0,20,0.95
United Kingdom,UK,new SFH,Natural gas,2050,heating,0.87,0.71,0.85,259,0.63,0.37,17,0,20,0.95
Austria,AT,new MFH,Natural gas,2050,heating,0.82,0.81,0.9,52,0.84,0.16,2,0,25,1.02
Belgium,BE,new MFH,Natural gas,2050,heating,0.92,0.88,0.88,58,0.84,0.16,2,0,25,1.02
Bulgaria,BG,new MFH,Natural gas,2050,heating,0.73,0.09,0.52,40,0.84,0.16,1,0,25,1.02
Croatia,HR,new MFH,Natural gas,2050,heating,0.83,0.23,0.66,46,0.84,0.16,1,0,25,1.02
Cyprus,CY,new MFH,Natural gas,2050,heating,1.02,0.36,0.73,58,0.84,0.16,1,0,25,1.02
Czech Republic,CZ,new MFH,Natural gas,2050,heating,0.8,0.24,0.63,45,0.84,0.16,1,0,25,1.02
Denmark,DK,new MFH,Natural gas,2050,heating,1,1,1,63,0.84,0.16,2,0,25,1.02
Estonia,EE,new MFH,Natural gas,2050,heating,0.82,0.3,0.72,46,0.84,0.16,1,0,25,1.02
Finland,FI,new MFH,Natural gas,2050,heating,0.94,0.87,0.92,58,0.84,0.16,2,0,25,1.02
France,FR,new MFH,Natural gas,2050,heating,0.93,0.8,0.84,57,0.84,0.16,2,0,25,1.02
Germany,DE,new MFH,Natural gas,2050,heating,0.89,0.69,0.82,54,0.84,0.16,2,0,25,1.02
Greece,EL,new MFH,Natural gas,2050,heating,0.81,0.29,0.74,46,0.84,0.16,1,0,25,1.02
Hungary,HU,new MFH,Natural gas,2050,heating,0.76,0.15,0.57,42,0.84,0.16,1,0,25,1.02
Ireland,IE,new MFH,Natural gas,2050,heating,0.87,0.69,0.83,53,0.84,0.16,2,0,25,1.02
Italy,IT,new MFH,Natural gas,2050,heating,0.94,0.6,0.87,56,0.84,0.16,2,0,25,1.02
Latvia,LV,new MFH,Natural gas,2050,heating,0.76,0.19,0.68,42,0.84,0.16,1,0,25,1.02
Lithuania,LT,new MFH,Natural gas,2050,heating,0.81,0.18,0.66,45,0.84,0.16,1,0,25,1.02
Luxembourg,LU,new MFH,Natural gas,2050,heating,0.98,0.64,0.92,59,0.84,0.16,2,0,25,1.02
Malta,MT,new MFH,Natural gas,2050,heating,1.16,0.24,0.85,64,0.84,0.16,2,0,25,1.02
Netherlands,NL,new MFH,Natural gas,2050,heating,0.87,0.86,0.88,54,0.84,0.16,2,0,25,1.02
Poland,PL,new MFH,Natural gas,2050,heating,0.66,0.19,0.52,37,0.84,0.16,1,0,25,1.02
Portugal,PT,new MFH,Natural gas,2050,heating,1,0.3,0.77,56,0.84,0.16,2,0,25,1.02
Romania,RO,new MFH,Natural gas,2050,heating,0.8,0.11,0.57,43,0.84,0.16,1,0,25,1.02
Slovakia,SK,new MFH,Natural gas,2050,heating,0.81,0.24,0.66,45,0.84,0.16,1,0,25,1.02
Slovenia,SI,new MFH,Natural gas,2050,heating,0.88,0.3,0.73,50,0.84,0.16,1,0,25,1.02
Spain,ES,new MFH,Natural gas,2050,heating,0.89,0.51,0.82,52,0.84,0.16,2,0,25,1.02
Sweden,SE,new MFH,Natural gas,2050,heating,1.01,1.02,0.98,63,0.84,0.16,2,0,25,1.02
United Kingdom,UK,new MFH,Natural gas,2050,heating,0.87,0.71,0.85,53,0.84,0.16,2,0,25,1.02
Austria,AT,new SFH,Biomass_Automatic,2015,heating,0.82,0.81,0.9,573,0.8,0.2,45,0,20,0.75
Belgium,BE,new SFH,Biomass_Automatic,2015,heating,0.92,0.88,0.88,640,0.8,0.2,44,0,20,0.75
Bulgaria,BG,new SFH,Biomass_Automatic,2015,heating,0.73,0.09,0.52,424,0.8,0.2,26,0,20,0.75
Croatia,HR,new SFH,Biomass_Automatic,2015,heating,0.83,0.23,0.66,499,0.8,0.2,33,0,20,0.75
Cyprus,CY,new SFH,Biomass_Automatic,2015,heating,1.02,0.36,0.73,620,0.8,0.2,37,0,20,0.75
Czech Republic,CZ,new SFH,Biomass_Automatic,2015,heating,0.8,0.24,0.63,484,0.8,0.2,31,0,20,0.75
Denmark,DK,new SFH,Biomass_Automatic,2015,heating,1,1,1,700,0.8,0.2,50,0,20,0.75
Estonia,EE,new SFH,Biomass_Automatic,2015,heating,0.82,0.3,0.72,502,0.8,0.2,36,0,20,0.75
Finland,FI,new SFH,Biomass_Automatic,2015,heating,0.94,0.87,0.92,646,0.8,0.2,46,0,20,0.75
France,FR,new SFH,Biomass_Automatic,2015,heating,0.93,0.8,0.84,631,0.8,0.2,42,0,20,0.75
