nuts2_id,heating_or_cooling,sector,120%load_factor
FI19,cooling,residential,0.000358813
FI1B,cooling,residential,0.000385198
FI1C,cooling,residential,0.000373363
FI1D,cooling,residential,0.000329443
FI20,cooling,residential,0.00041694
FR10,cooling,residential,0.000455395
FR21,cooling,residential,0.000423381
FR22,cooling,residential,0.000424336
FR23,cooling,residential,0.000425305
FR24,cooling,residential,0.000455303
FR25,cooling,residential,0.000402875
FR26,cooling,residential,0.000422053
FR30,cooling,residential,0.000415692
FR41,cooling,residential,0.000422508
FR42,cooling,residential,0.000467396
FR43,cooling,residential,0.000420332
FR51,cooling,residential,0.000452433
FR52,cooling,residential,0.000402534
FR53,cooling,residential,0.000454833
FR61,cooling,residential,0.00048894
FR62,cooling,residential,0.000485328
FR63,cooling,residential,0.000439726
FR71,cooling,residential,0.00042623
FR72,cooling,residential,0.00043214
FR81,cooling,residential,0.000493629
FR82,cooling,residential,0.000455278
FR83,cooling,residential,0.000488358
HR03,cooling,residential,0.000434349
HR04,cooling,residential,0.000457456
HU10,cooling,residential,0.000471806
HU21,cooling,residential,0.000458959
HU22,cooling,residential,0.000472702
HU23,cooling,residential,0.00046773
HU31,cooling,residential,0.000473014
HU32,cooling,residential,0.000479955
HU33,cooling,residential,0.000489047
IE01,cooling,residential,0.000419733
IE02,cooling,residential,0.000418198
ITC1,cooling,residential,0.000434939
ITC2,cooling,residential,0.000374732
ITC3,cooling,residential,0.000446217
ITC4,cooling,residential,0.000439214
ITF1,cooling,residential,0.000461821
ITF2,cooling,residential,0.000487511
ITF3,cooling,residential,0.000522833
ITF4,cooling,residential,0.000540055
ITF5,cooling,residential,0.000483847
ITF6,cooling,residential,0.000490841
ITG2,cooling,residential,0.000519395
ITH1,cooling,residential,0.000384768
ITH2,cooling,residential,0.000403947
ITH3,cooling,residential,0.000458606
ITH4,cooling,residential,0.000450486
ITH5,cooling,residential,0.000459435
ITI1,cooling,residential,0.000435174
ITI2,cooling,residential,0.000446396
ITI3,cooling,residential,0.000478803
ITI4,cooling,residential,0.000498775
LT00,cooling,residential,0.000444653
LU00,cooling,residential,0.000412358
LV00,cooling,residential,0.000429633
NL11,cooling,residential,0.000416303
NL12,cooling,residential,0.000447499
NL13,cooling,residential,0.000415637
NL21,cooling,residential,0.000458976
NL22,cooling,residential,0.000429365
NL23,cooling,residential,0.000455412
NL31,cooling,residential,0.000441932
NL32,cooling,residential,0.000464911
NL33,cooling,residential,0.000453581
NL34,cooling,residential,0.000450979
NL41,cooling,residential,0.000445625
NL42,cooling,residential,0.000444218
PL11,cooling,residential,0.000508162
PL12,cooling,residential,0.000506895
PL21,cooling,residential,0.000510854
PL22,cooling,residential,0.000513984
PL31,cooling,residential,0.000514048
PL32,cooling,residential,0.000526946
PL33,cooling,residential,0.000513933
PL34,cooling,residential,0.00047866
PL41,cooling,residential,0.000515082
PL42,cooling,residential,0.000485707
PL43,cooling,residential,0.000510848
PL51,cooling,residential,0.000498365
PL52,cooling,residential,0.000527515
PL61,cooling,residential,0.000497964
PL62,cooling,residential,0.000477827
PL63,cooling,residential,0.000453152
PT11,cooling,residential,0.000482031
PT15,cooling,residential,0.000502274
PT16,cooling,residential,0.000504469
PT17,cooling,residential,0.000504325
PT18,cooling,residential,0.000519337
RO11,cooling,residential,0.000536033
RO12,cooling,residential,0.000562442
RO21,cooling,residential,0.000577587
RO22,cooling,residential,0.000700608
RO31,cooling,residential,0.000664385
RO32,cooling,residential,0.000698439
RO41,cooling,residential,0.000688072
RO42,cooling,residential,0.000555573
SE11,cooling,residential,0.000423856
SE12,cooling,residential,0.000406032
SE21,cooling,residential,0.000428846
SE22,cooling,residential,0.000438138
SE23,cooling,residential,0.000433636
SE31,cooling,residential,0.000368567
SE32,cooling,residential,0.000335378
SE33,cooling,residential,0.000322044
SI03,cooling,residential,0.000446668
SI04,cooling,residential,0.000413871
SK01,cooling,residential,0.000488638
SK02,cooling,residential,0.000499785
SK03,cooling,residential,0.000448233
SK04,cooling,residential,0.00048235
UKC1,cooling,residential,0.000387543
UKC2,cooling,residential,0.000380151
UKD1,cooling,residential,0.000386231
UKD3,cooling,residential,0.000391044
UKD4,cooling,residential,0.000408178
UKD6,cooling,residential,0.00041571
UKD7,cooling,residential,0.00041986
UKE1,cooling,residential,0.000398127
UKE2,cooling,residential,0.000396159
UKE3,cooling,residential,0.000389278
UKE4,cooling,residential,0.000393348
UKF1,cooling,residential,0.00039399
UKF2,cooling,residential,0.000406948
UKF3,cooling,residential,0.000399276
UKG1,cooling,residential,0.000414065
UKG2,cooling,residential,0.000407454
UKG3,cooling,residential,0.000411839
UKH1,cooling,residential,0.000402308
UKH2,cooling,residential,0.000410198
UKH3,cooling,residential,0.000402157
UKI3,cooling,residential,0.000408513
UKI4,cooling,residential,0.00040837
UKI5,cooling,residential,0.000405112
UKI6,cooling,residential,0.000402587
UKI7,cooling,residential,0.000420529
UKJ1,cooling,residential,0.000414265
UKJ2,cooling,residential,0.000413823
UKJ3,cooling,residential,0.00040654
UKJ4,cooling,residential,0.000404158
UKK1,cooling,residential,0.000420001
UKK2,cooling,residential,0.000412764
UKK3,cooling,residential,0.000403312
UKK4,cooling,residential,0.000395394
UKL1,cooling,residential,0.000402363
UKL2,cooling,residential,0.000403808
UKM2,cooling,residential,0.000383072
UKM3,cooling,residential,0.000389616
UKM5,cooling,residential,0.000395256
UKM6,cooling,residential,0.000392718
UKN0,cooling,residential,0.000401944
AT11,cooling,service,0.000394109
AT12,cooling,service,0.00039599
AT13,cooling,service,0.000363884
AT21,cooling,service,0.00032502
AT22,cooling,service,0.000374509
AT31,cooling,service,0.000356669
AT32,cooling,service,0.000317702
AT33,cooling,service,0.000299883
AT34,cooling,service,0.000321055
BE10,cooling,service,0.00038356
BE21,cooling,service,0.000389266
BE22,cooling,service,0.000380108
BE23,cooling,service,0.000382459
BE24,cooling,service,0.00037946
BE25,cooling,service,0.000375137
BE31,cooling,service,0.000354859
BE32,cooling,service,0.000357686
BE33,cooling,service,0.000349954
BE34,cooling,service,0.000349967
BE35,cooling,service,0.000353153
BG31,cooling,service,0.000523605
BG32,cooling,service,0.000533661
BG33,cooling,service,0.000550526
BG34,cooling,service,0.000548395
BG41,cooling,service,0.00042173
BG42,cooling,service,0.000490467
CY00,cooling,service,0.000733561
CZ01,cooling,service,0.000406543
CZ02,cooling,service,0.000384002
CZ03,cooling,service,0.000358087
CZ04,cooling,service,0.000370626
CZ05,cooling,service,0.000395969
CZ06,cooling,service,0.000417473
CZ07,cooling,service,0.000418947
CZ08,cooling,service,0.000449579
DE11,cooling,service,0.00037366
DE12,cooling,service,0.000393478
DE13,cooling,service,0.000363908
DE14,cooling,service,0.000345492
DE21,cooling,service,0.000347053
DE22,cooling,service,0.000382584
DE23,cooling,service,0.000402428
DE24,cooling,service,0.000381434
DE25,cooling,service,0.000373649
DE26,cooling,service,0.000365916
DE27,cooling,service,0.00034989
DE30,cooling,service,0.000417837
DE40,cooling,service,0.000420535
DE50,cooling,service,0.000369739
DE60,cooling,service,0.000377453
DE71,cooling,service,0.00036244
DE72,cooling,service,0.000360434
DE73,cooling,service,0.000367095
DE80,cooling,service,0.000414056
DE91,cooling,service,0.000383649
DE92,cooling,service,0.00038681
DE93,cooling,service,0.000379314
DE94,cooling,service,0.000375372
DEA1,cooling,service,0.00036205
DEA2,cooling,service,0.000355564
DEA3,cooling,service,0.000377636
DEA4,cooling,service,0.000404453
DEA5,cooling,service,0.000348545
DEB1,cooling,service,0.000347373
DEB2,cooling,service,0.000347688
DEB3,cooling,service,0.000370528
Dec-00,cooling,service,0.000360893
DED2,cooling,service,0.000397088
DED4,cooling,service,0.000358328
DED5,cooling,service,0.000390992
DEE0,cooling,service,0.000404312
DEF0,cooling,service,0.000357285
DEG0,cooling,service,0.000370825
DK01,cooling,service,0.000344661
DK02,cooling,service,0.000337146
